Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CAP_EEHZA1E470P,2,47u,
"C10, C5",0603,2,1u,
"C11, C13",0603,2,22p,
"C12, C3, C4, C6, C7, C8, C9",0603,7,100n,
C14,0603,1,2.2nF,
"C15, C16, C17, C18, C19",0603,5,100nF,
D1,D_SMB,1,CGRB307-G,
"D2, D3",1206,2,CD1206-S01575,
"D4, D5, D6",0805,3,YELLOW,
D7,0805,1,GREEN,
F2,1812,1,MF-MSMF050-2,
FB1,0805,1,1kΩ@100MHz,
FB2,0805,1,10uH,
"J1, J3",PinHeader_2x03_P2.54mm_Vertical,2,M20-9980345,
J2,CONN_M20-9980245_HRW,1,M20-9980245,
J4,PinSocket_1x10_P2.54mm_Vertical,1,PPTC101LFBN-RC,
"J5, J7",PinSocket_1x08_P2.54mm_Vertical,2,PPTC081LFBN-RC,
J6,PinSocket_1x06_P2.54mm_Vertical,1,PPTC061LFBN-RC,
J8,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J9,BarrelJack_Kycon_KLDX-0202-xC_Horizontal,1,PJ-102AH,
Q1,SC-59,1,FDN340P,
"R3, R4",0603,2,5k1,
"R5, R6, R7, R8",0603,4,4.7k,
RN1,R_Array_Convex_4x0603,1,10k,
"RN2, RN4",R_Array_Convex_4x0603,2,1k,
RN3,R_Array_Convex_4x0603,1,22R,
S1,SW_TS06-667-30-BK-100-G-SMT-TR,1,TS06-667-30-BK-100-G-SMT-TR,
U1,SOT-223-3_TabPin2,1,NCP1117-5.0_SOT223,
U2,SOT-23-5,1,LP2985-3.3,
U3,VQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ATMEGA16U2-MU,
U4,VQFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,1,ATMEGA328P-MU,
U5,MSOP-8_3x3mm_P0.65mm,1,LMV358IDGKR,
U6,InvenSense_QFN-24_4x4mm_P0.5mm,1,MPU-6050,
U7,SOIC-14_3.9x8.7mm_P1.27mm,1,ET2104V,
U8,Bosch_LGA-8_2x2.5mm_P0.65mm_ClockwisePinNumbering,1,BMP280,
Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,1,CSTNE16M0V530000R0,
Y2,Crystal_HC49-4H_Vertical,1,LFXTAL003240BULK,
"Z1, Z2",0603,2,5pF@1MHz,
