Designator,Mid X,Mid Y,Rotation,Layer
C1,132.6261,-122.5296,270.0,top
C10,126.9111,-89.7636,0.0,top
C11,130.2131,-102.0826,180.0,top
C12,153.0223,-121.0564,180.0,top
C13,136.4361,-102.0826,0.0,top
C14,169.0,-125.0,270.0,bottom
C15,166.0,-119.0,0.0,bottom
C16,163.0,-119.5,90.0,bottom
C17,168.0,-120.5,0.0,bottom
C18,173.5,-119.5,90.0,top
C19,178.725,-122.0,180.0,top
C2,139.7381,-122.5296,270.0,top
C3,132.6261,-116.3066,270.0,top
C4,126.2761,-101.8286,0.0,top
C5,139.7381,-116.3066,90.0,top
C6,142.1511,-87.2236,0.0,top
C7,142.1511,-101.8286,0.0,top
C8,157.7467,-121.2596,180.0,top
C9,142.1511,-100.1776,0.0,top
D1,135.8011,-129.159,180.0,top
D2,173.6471,-103.7336,270.0,top
D3,127.2921,-85.4456,90.0,top
D4,142.1511,-89.408,180.0,top
D5,142.1384,-95.1484,0.0,top
D6,142.1511,-97.3836,0.0,top
D7,172.6184,-95.0468,180.0,top
F2,118.2116,-105.1306,270.0,top
FB1,121.8311,-86.995,0.0,top
FB2,152.9207,-123.8504,0.0,top
FID1,120.5611,-81.7626,0.0,top
FID2,164.3681,-110.7416,0.0,top
FID3,117.9411,-128.2636,0.0,top
J1,132.4991,-85.4456,270.0,top
J2,133.769,-90.526,90.0,top
J3,179.1081,-103.7336,0.0,top
J4,144.4371,-80.8736,270.0,top
J5,168.8211,-80.8736,270.0,top
J6,171.361,-129.1336,90.0,top
J7,151.0411,-129.1336,90.0,top
J8,117.85,-93.5736,270.0,top
J9,123.02,-125.085,0.0,top
JP1,142.1511,-104.3686,0.0,top
JP2,125.6411,-91.0336,180.0,bottom
Q1,122.4104,-105.1306,180.0,top
R3,123.698,-91.4908,90.0,top
R4,123.698,-96.1136,270.0,top
R5,159.5,-126.0,270.0,bottom
R6,170.5,-124.5,270.0,bottom
R7,178.0,-117.0,180.0,top
R8,170.5,-120.0,270.0,bottom
RN1,142.1511,-107.7976,270.0,top
RN2,142.1511,-92.3036,90.0,top
RN3,127.0381,-94.8436,270.0,top
RN4,172.6311,-97.8916,270.0,top
S1,120.5611,-82.2706,0.0,top
U1,121.9581,-114.2746,0.0,top
U2,136.1821,-116.4336,180.0,top
U3,134.1501,-97.0026,90.0,top
U4,156.7561,-115.7986,270.0,top
U5,133.2611,-111.3536,90.0,top
U6,164.75,-124.05,180.0,bottom
U7,176.23,-122.025,180.0,bottom
U8,174.175,-122.5,270.0,top
Y1,155.4861,-106.7816,0.0,top
Y2,133.1341,-105.5116,180.0,top
Z1,126.9111,-92.0336,180.0,top
Z2,126.9111,-98.0186,180.0,top
